vx0,vy0,vz0,ax,ay,az,start_speed,left_handed_pitcher,pitch_code
7.69914900671662,-132.225686405648,-6.58357157666866,-22.5082591074995,28.3119270826735,-16.5850095967027,91.1,0,0
6.68052308575228,-134.215511616881,-6.35565979491619,-19.6602769147989,26.7031848314466,-14.3430602022656,92.4,0,0
2.56546504690782,-135.398673977074,-2.91657310799559,-14.7849950586111,27.8083916890792,-21.5737737390901,93.1,0,0
3.025984545,-141.5593981,-3.418943355,-18.61784756,31.34301864,-28.92158389,97.5,0,0
8.03666161152309,-127.100784418534,-3.93439865825313,-23.7802549938032,29.2145116060971,-20.14151770602,88,0,0
6.02128759335,-135.952555604,-6.10757060571,-18.9050233346,25.5245455973,-18.833455555,93.4,0,0
10.3040075113,-137.02850141,-5.63367047955,-21.3306220952,30.6097849893,-13.9389786003,94.5,0,0
7.02408859042,-138.127470417,-2.7026292556,-18.4598712629,28.5818036282,-19.5909032456,94.9,0,0
8.44310039236,-138.494237437,-8.10443037356,-22.5532191752,28.3920959173,-17.3609550753,95.4,0,0
8.12722045995748,-136.474484512025,-5.50803856195465,-19.5135869422236,28.2351892312074,-18.434830663832,94.1,0,0
7.02739694755782,-136.230486041552,-3.33977097743822,-17.3712280299433,28.8049715008984,-24.1657999064334,93.9,0,0
9.66146798488187,-136.806934004572,-7.60542651926894,-17.9906824271325,29.9665856905398,-20.3905367105593,94.5,0,0
4.58798627390507,-137.024847646263,-3.43955275200991,-16.0094119407581,30.1999483480102,-22.1927967950676,94.4,0,0
7.35375110678768,-136.267935225528,-5.23304835007284,-16.26741640045,30.2852647135302,-20.8022054736703,94,0,0
2.1393266940914,-131.509921556141,-4.51701851275428,-17.178426847549,27.085099198258,-18.9008545153202,90.5,0,0
5.26348362534545,-132.526600306956,-1.32214837537436,-18.3798543697094,28.9564111001427,-16.4816829889382,91.3,0,0
5.06521069878992,-135.319528839761,-3.69621223260285,-19.4195878169143,29.9709586197631,-19.6863023150219,93.1,0,0
9.42847802879037,-135.326825269293,-7.33595787107139,-17.4265039948836,26.9580692000176,-19.1098538418114,93.3,0,0
6.12579212085159,-135.810398390955,-5.68557417143373,-17.9711242196987,29.2198796525988,-20.1743606998983,93.5,0,0
4.2346708556091,-136.164205217209,-6.14772698378952,-19.7220421720723,30.0310194601185,-21.1454614527506,93.7,0,0
6.02874690561716,-136.036962858009,-5.0448640848309,-18.7805130478805,29.1204819800158,-20.6162170287904,93.6,0,0
7.65654735674585,-136.678305508328,-9.76471014482917,-19.7981500197352,30.0125257061637,-23.8463251478483,94.3,0,0
5.59959993212424,-126.487261454095,-2.49908864534201,-10.6155962743307,26.385346427655,-20.4030987280679,87.3,0,0
7.76452075520465,-128.608864933224,-1.85447595594736,-11.5993450875117,21.7146921193854,-26.792160334616,88.6,0,0
4.64305431432677,-129.429397733787,-1.04293091011663,-9.52270308434085,24.5103044849973,-24.3432517621439,89.1,0,0
3.39811252415005,-138.11099665249,-6.9563663559437,-16.5598313404362,30.4231598999519,-16.1129832296713,95,0,0
2.75634979586913,-137.407229932278,-7.79072448394348,-15.6877873752979,29.0931276097834,-16.9796991326986,94.5,0,0
4.71448945859842,-138.031570282601,-10.3199979539828,-15.8004855191187,27.5934030620695,-15.3318197244057,95,0,0
1.75882955834368,-131.791380582055,-4.48851223878829,-11.0623126850157,26.0216097905021,-22.1054317081423,90.5,0,0
3.80366441422477,-131.320083705673,-5.18646286194465,-16.3990155022749,30.1538199737202,-19.213064901621,90.4,0,0
